siif,dpi,nombres,apellidos,fecha_nacimiento,correo,telefono,direccion
199000001, '1234567890123', 'INGRID MARISOL', ' FLORES ESTRADA', '1991-05-15', 'ingrid.flores@gmail.com', '11112222', 'AVENIDA PRINCIPAL 123'
199100002, '9876543210456', 'EDGAR HAROLDO', 'TORRES SOTO', '1988-12-03', 'edgar.soto@gmail.com', '22223333', 'CALLE DEL BOSQUE 456'
199200003, '4567891230789', 'ERICKA JOHANA', 'CANO DIAZ', '1994-08-20', 'ericka.cano@gmail.com', '33334444', 'PLAZA DE LA LIBERTAD 234'
199300004, '7891234560345', 'CARLOS AUGUSTO', 'MORALES SANTACRUZ', '1987-03-10', 'carlos.santacruz@gmail.com', '44445555', 'RINCÓN DEL PARAÍSO 123'
199400005, '2345678900987', 'ARTURO RODRIGO', 'SAMAYOA DARDON', '1993-07-25', 'samayoa@gmail.com', '55556666', 'CALLE PRINCIPAL 567'
199500006, '3456789010123', 'CARLOS ALBERTO', 'GARRIDO LOPEZ', '1995-09-19', 'garridolopez@gmail.com', '66667777', 'AVENIDA CENTRAL 789'
199600007, '4561237890234', 'RAMON BENJAMIN', 'PIEDRASANTA BATZ', '1989-06-05', 'piedrabatz@gmail.com', '77778888', 'PLAZA MAYOR 234'
199700008, '7893451230765', 'NOEL JOEL', 'GRAMAJO MONTERROSO', '1986-03-22', 'noegram@gmail.com', '88889999', 'CALLE DEL SOL 567'
199900009, '2345678900456', 'BERTHA ROXANDA', 'MOLINA LEON DE QUINTO', '1992-02-15', 'bethamoli@gmail.com', '99990000', 'PLAZA DEL CIELO 234'
200000010, '4561237890567', 'PAMELA CRISTINA', 'SIKAHALL URIZAR', '1984-11-30', 'pamelasik@gmail.com', '10101010', 'CALLE DEL RÍO 123'
